   0.283   0.144
   0.281   0.141
   0.328   0.189
    0.29   0.161
   0.296   0.186
   0.248   0.106
   0.228   0.117
   0.305   0.174
   0.254   0.094
   0.269   0.147
     0.3   0.141
   0.307   0.135
   0.214     0.1
   0.329   0.189
    0.31   0.149
   0.252   0.119
   0.308   0.158
   0.342   0.259
   0.358   0.193
    0.34   0.155
   0.304   0.197
   0.248   0.133
   0.367   0.196
   0.325   0.206
   0.244    0.11
   0.245   0.096
   0.318   0.193
   0.207   0.154
    0.32   0.204
   0.243   0.141
   0.317   0.209
   0.199     0.1
   0.294   0.158
   0.221   0.087
   0.301   0.163
   0.298   0.207
   0.304   0.197
   0.297    0.16
   0.188   0.064
   0.214     0.1
   0.218   0.082
   0.284   0.131
    0.27    0.17
   0.277    0.15
   0.254    0.14
     0.3    0.12
   0.256    0.17
